date,BTC,SOL,solbtc,solbtc_ma180,solbtc_gap,solbtc_gap_lag1,btc_ma200,btc_ma200_gap
2024-02-25,51764.9,103.569,0.0020007572698875105,0.0015444778719210094,0.29542630960389515,0.3120848013563391,36346.0625,0.4242230502960258
2024-02-26,54511.6,110.034,0.0020185428422574278,0.0015514562806048817,0.30106330902888123,0.29542630960389515,36471.402,0.4946395534780921
2024-02-27,57074.5,108.45,0.0019001480521073334,0.0015577872824165308,0.2197737608691428,0.30106330902888123,36609.697,0.5589995186248058
2024-02-28,62487.9,119.425,0.0019111700025124863,0.0015642450540513167,0.22178427066951634,0.2197737608691428,36775.032999999996,0.6991935806012739
2024-02-29,61203.3,125.769,0.0020549382141159056,0.0015714757702792977,0.30764867838253873,0.22178427066951634,36934.583000000006,0.6570729930807664
2024-03-01,62430.6,129.456,0.0020735985238008285,0.0015788112435342794,0.3133922958129771,0.30764867838253873,37099.6385,0.6827818955702223
2024-03-02,62039.9,130.184,0.002098391519006317,0.001586269272052747,0.32284698189409333,0.3133922958129771,37263.894,0.6648796821931706
2024-03-03,63178.5,130.304,0.002062473784594443,0.0015933620525102193,0.29441628244200624,0.32284698189409333,37436.2145,0.687630569591912
2024-03-04,68296.4,133.45,0.001953982933214635,0.0015999840760877132,0.22125148769762815,0.29441628244200624,37644.648,0.814239304349452
2024-03-05,63747.4,125.358,0.001966480201545475,0.0016066958332318726,0.22392811437737725,0.22125148769762815,37833.1745,0.6849603778292515
2024-03-06,66128.1,130.916,0.0019797332752642216,0.0016134909727659164,0.22698751259232441,0.22392811437737725,38033.3735,0.7386861567775471
2024-03-07,66870.0,143.997,0.0021533871691341413,0.0016212863773335713,0.3281966710135953,0.22698751259232441,38236.844,0.7488368025352721
2024-03-08,68180.2,144.879,0.002124942431967052,0.0016291728001837451,0.30430757972843137,0.3281966710135953,38447.168,0.7733477794775419
2024-03-09,68360.1,144.424,0.0021126943933668907,0.0016369968659531728,0.29059159324458084,0.30430757972843137,38658.7465,0.7682958240769655
2024-03-10,69001.8,144.497,0.002094104791469208,0.0016447793357494244,0.27318281908925734,0.29059159324458084,38871.6595,0.7751184510144209
2024-03-11,72153.8,149.062,0.0020658925794622045,0.0016523587105315668,0.25026882255948113,0.27318281908925734,39101.605500000005,0.8452899587460672
2024-03-12,71503.2,151.201,0.0021146046610501347,0.0016601594110445832,0.27373591173368816,0.25026882255948113,39328.863000000005,0.8180845960382834
2024-03-13,73127.6,164.055,0.002243407413890241,0.0016686247895783984,0.34446487185238905,0.27373591173368816,39564.4795,0.8483144710648856
2024-03-14,71455.5,176.851,0.002474980932188565,0.0016783750536411865,0.47462924143156493,0.34446487185238905,39791.3185,0.7957560265312646
2024-03-15,69552.2,184.155,0.002647723580274959,0.0016891458591701577,0.5674925678565914,0.47462924143156493,40008.547,0.7384335402132949
2024-03-16,65351.0,182.184,0.0027877767746476716,0.001700557064849462,0.63933150628759,0.5674925678565914,40196.8015,0.6257761205204349
2024-03-17,68447.9,201.962,0.002950594539788657,0.0017128598073083393,0.7226129816341167,0.63933150628759,40402.589,0.6941463825498904
